‍  zero width joiner
➷  heavy black-feathered south east arrow
➸  heavy black-feathered rightwards arrow
➹  heavy black-feathered north east arrow
➺  teardrop-barbed rightwards arrow
➻  heavy teardrop-shanked rightwards arrow
➼  wedge-tailed rightwards arrow
➽  heavy wedge-tailed rightwards arrow
➾  open-outlined rightwards arrow
➿  double curly loop
🚀  rocket
🚁  helicopter
🚂  steam locomotive
🚃  railway car
🚄  high-speed train
🚅  high-speed train with bullet nose
🚆  train
🚇  metro
🚈  light rail
🚉  station
🚊  tram
🚋  tram car
🚌  bus
🚍  oncoming bus
🚎  trolleybus
🚏  bus stop
🚐  minibus
🚑  ambulance
🚒  fire engine
🚓  police car
🚔  oncoming police car
🚕  taxi
🚖  oncoming taxi
🚗  automobile
🚘  oncoming automobile
🚙  recreational vehicle
🚚  delivery truck
🚛  articulated lorry
🚜  tractor
🚝  monorail
🚞  mountain railway
🚟  suspension railway
🚠  mountain cableway
🚡  aerial tramway
🚢  ship
🚣  rowboat
🚤  speedboat
🚥  horizontal traffic light
🚦  vertical traffic light
🚧  construction sign
🚨  police cars revolving light
🚩  triangular flag on post
🚪  door
🚫  no entry sign
🚬  smoking symbol
🚭  no smoking symbol
🚮  put litter in its place symbol
🚯  do not litter symbol
🚰  potable water symbol
🚱  non-potable water symbol
🚲  bicycle
🚳  no bicycles
🚴  bicyclist
🚵  mountain bicyclist
🚶  pedestrian
🚷  no pedestrians
🚸  children crossing
🚹  mens symbol
🚺  womens symbol
🚻  restroom
🚼  baby symbol
🚽  toilet
🚾  water closet
🚿  shower
🛀  bath
🛁  bathtub
🛂  passport control
🛃  customs
🛄  baggage claim
🛅  left luggage
🛆  triangle with rounded corners
🛇  prohibited sign
🛈  circled information source
🛉  boys symbol
🛊  girls symbol
🛋  couch and lamp
🛌  sleeping accommodation
🛍  shopping bags
🛎  bellhop bell
🛏  bed
🛐  place of worship
🛑  octagonal sign
🛒  shopping trolley
🛓  stupa
🛔  pagoda
🛠  hammer and wrench
🛡  shield
🛢  oil drum
🛣  motorway
🛤  railway track
🛥  motor boat
🛦  up-pointing military airplane
🛧  up-pointing airplane
🛨  up-pointing small airplane
🛩  small airplane
🛪  northeast-pointing airplane
🛫  airplane departure
🛬  airplane arriving
🛰  satellite
🛱  oncoming fire engine
🛲  diesel locomotive
🛳  passenger ship
🛴  scooter
🛵  motor scooter
🛶  canoe
🛷  sled
🛸  flying saucer
🇦  regional indicator symbol letter a
🇧  regional indicator symbol letter b
🇨  regional indicator symbol letter c
🇩  regional indicator symbol letter d
🇪  regional indicator symbol letter e
🇫  regional indicator symbol letter f
🇬  regional indicator symbol letter g
🇭  regional indicator symbol letter h
🇮  regional indicator symbol letter i
🇯  regional indicator symbol letter j
🇰  regional indicator symbol letter k
🇱  regional indicator symbol letter l
🇲  regional indicator symbol letter m
🇳  regional indicator symbol letter n
🇴  regional indicator symbol letter o
🇵  regional indicator symbol letter p
🇶  regional indicator symbol letter q
🇷  regional indicator symbol letter r
🇸  regional indicator symbol letter s
🇹  regional indicator symbol letter t
🇺  regional indicator symbol letter u
🇻  regional indicator symbol letter v
🇼  regional indicator symbol letter w
🇽  regional indicator symbol letter x
🇾  regional indicator symbol letter y
🇿  regional indicator symbol letter z
∀  for all
∁  complement
∂  partial differential
∃  there exists
∄  there does not exist
∅  empty set
∆  increment
∇  nabla
∈  element of
∉  not an element of
∊  small element of
∋  contains as member
∌  does not contain as member
∍  small contains as member
∎  end of proof
∏  n-ary product
∐  n-ary coproduct
∑  n-ary summation
−  minus sign
∓  minus-or-plus sign
∔  dot plus
∕  division slash
∖  set minus
∗  asterisk operator
∘  ring operator
∙  bullet operator
√  square root
∛  cube root
∜  fourth root
∝  proportional to
∞  infinity
∟  right angle
∠  angle
∡  measured angle
∢  spherical angle
∣  divides
∤  does not divide
∥  parallel to
∦  not parallel to
∧  logical and
∨  logical or
∩  intersection
∪  union
∫  integral
∬  double integral
∭  triple integral
∮  contour integral
∯  surface integral
∰  volume integral
∱  clockwise integral
∲  clockwise contour integral
∳  anticlockwise contour integral
∴  therefore
∵  because
∶  ratio
∷  proportion
∸  dot minus
∹  excess
∺  geometric proportion
∻  homothetic
∼  tilde operator
∽  reversed tilde
∾  inverted lazy s
∿  sine wave
≀  wreath product
≁  not tilde
≂  minus tilde
≃  asymptotically equal to
≄  not asymptotically equal to
≅  approximately equal to
≆  approximately but not actually equal to
≇  neither approximately nor actually equal to
≈  almost equal to
≉  not almost equal to
≊  almost equal or equal to
≋  triple tilde
≌  all equal to
≍  equivalent to
≎  geometrically equivalent to
≏  difference between
≐  approaches the limit
≑  geometrically equal to
≒  approximately equal to or the image of
≓  image of or approximately equal to
≔  colon equals
≕  equals colon
≖  ring in equal to
≗  ring equal to
≘  corresponds to
≙  estimates
≚  equiangular to
≛  star equals
≜  delta equal to
≝  equal to by definition
≞  measured by
≟  questioned equal to
≠  not equal to
≡  identical to
≢  not identical to
≣  strictly equivalent to
≤  less-than or equal to
≥  greater-than or equal to
≦  less-than over equal to
≧  greater-than over equal to
≨  less-than but not equal to
≩  greater-than but not equal to
≪  much less-than
≫  much greater-than
≬  between
≭  not equivalent to
≮  not less-than
≯  not greater-than
≰  neither less-than nor equal to
≱  neither greater-than nor equal to
≲  less-than or equivalent to
≳  greater-than or equivalent to
≴  neither less-than nor equivalent to
≵  neither greater-than nor equivalent to
≶  less-than or greater-than
≷  greater-than or less-than
≸  neither less-than nor greater-than
≹  neither greater-than nor less-than
≺  precedes
≻  succeeds
≼  precedes or equal to
≽  succeeds or equal to
≾  precedes or equivalent to
≿  succeeds or equivalent to
⊀  does not precede
⊁  does not succeed
⊂  subset of
⊃  superset of
⊄  not a subset of
⊅  not a superset of
⊆  subset of or equal to
⊇  superset of or equal to
⊈  neither a subset of nor equal to
⊉  neither a superset of nor equal to
⊊  subset of with not equal to
⊋  superset of with not equal to
⊌  multiset
⊍  multiset multiplication
⊎  multiset union
⊏  square image of
⊐  square original of
⊑  square image of or equal to
⊒  square original of or equal to
⊓  square cap
⊔  square cup
⊕  circled plus
⊖  circled minus
⊗  circled times
⊘  circled division slash
⊙  circled dot operator
⊚  circled ring operator
⊛  circled asterisk operator
⊜  circled equals
⊝  circled dash
⊞  squared plus
⊟  squared minus
⊠  squared times
⊡  squared dot operator
⊢  right tack
⊣  left tack
⊤  down tack
⊥  up tack
⊦  assertion
⊧  models
⊨  true
⊩  forces
⊪  triple vertical bar right turnstile
⊫  double vertical bar double right turnstile
⊬  does not prove
⊭  not true
⊮  does not force
⊯  negated double vertical bar double right turnstile
⊰  precedes under relation
⊱  succeeds under relation
⊲  normal subgroup of
⊳  contains as normal subgroup
⊴  normal subgroup of or equal to
⊵  contains as normal subgroup or equal to
⊶  original of
⊷  image of
⊸  multimap
⊹  hermitian conjugate matrix
⊺  intercalate
⊻  xor
⊼  nand
⊽  nor
⊾  right angle with arc
⊿  right triangle
⋀  n-ary logical and
⋁  n-ary logical or
⋂  n-ary intersection
⋃  n-ary union
⋄  diamond operator
⋅  dot operator
⋆  star operator
⋇  division times
⋈  bowtie
⋉  left normal factor semidirect product
⋊  right normal factor semidirect product
⋋  left semidirect product
⋌  right semidirect product
⋍  reversed tilde equals
⋎  curly logical or
⋏  curly logical and
⋐  double subset
⋑  double superset
⋒  double intersection
⋓  double union
⋔  pitchfork
⋕  equal and parallel to
⋖  less-than with dot
⋗  greater-than with dot
⋘  very much less-than
⋙  very much greater-than
⋚  less-than equal to or greater-than
⋛  greater-than equal to or less-than
⋜  equal to or less-than
⋝  equal to or greater-than
⋞  equal to or precedes
⋟  equal to or succeeds
⋠  does not precede or equal
⋡  does not succeed or equal
⋢  not square image of or equal to
⋣  not square original of or equal to
⋤  square image of or not equal to
⋥  square original of or not equal to
⋦  less-than but not equivalent to
⋧  greater-than but not equivalent to
⋨  precedes but not equivalent to
⋩  succeeds but not equivalent to
⋪  not normal subgroup of
⋫  does not contain as normal subgroup
⋬  not normal subgroup of or equal to
⋭  does not contain as normal subgroup or equal
⋮  vertical ellipsis
⋯  midline horizontal ellipsis
⋰  up right diagonal ellipsis
⋱  down right diagonal ellipsis
⋲  element of with long horizontal stroke
⋳  element of with vertical bar at end of horizontal stroke
⋴  small element of with vertical bar at end of horizontal stroke
⋵  element of with dot above
⋶  element of with overbar
⋷  small element of with overbar
⋸  element of with underbar
⋹  element of with two horizontal strokes
⋺  contains with long horizontal stroke
⋻  contains with vertical bar at end of horizontal stroke
⋼  small contains with vertical bar at end of horizontal stroke
⋽  contains with overbar
⋾  small contains with overbar
⋿  z notation bag membership
